,userID,contactID,timestamp
0,8,28371,1286151259000
1,8,40306,1286101989000
2,8,85279,1285981848000
3,8,91764,1286225027000
4,8,97723,1286846913000
5,8,105468,1286802368000
6,8,106690,1285867633000
7,32,3203,1281710191000
8,32,7978,1280116483000
9,32,8670,1281770566000
10,32,12847,1284467689000
11,32,83734,1279699507000
12,57,9145,1214190308000
13,57,9152,1249293349000
14,57,23849,1217235501000
15,57,29455,1214014028000
16,57,65215,1214842923000
17,57,85166,1216204559000
18,57,101198,1214668172000
19,147,19354,1160583880000
20,147,19622,1157860569000
21,147,22728,1164378971000
22,147,27421,1190754799000
23,147,30118,1183471915000
24,147,31053,1190754802000
25,147,33163,1183471912000
26,147,35908,1183471921000
27,147,38536,1183471953000
28,147,38853,1183471913000
29,147,44414,1183471929000
30,147,45368,1160583872000
31,147,47658,1204313379000
32,147,50538,1190754769000
33,147,54173,1190754797000
34,147,55826,1202555797000
35,147,56555,1162579553000
36,147,56742,1159446104000
37,147,60219,1190754804000
38,147,70781,1160583902000
39,147,72740,1183471913000
40,147,73561,1190754797000
41,147,75061,1190754797000
42,147,78003,1159448182000
43,147,85755,1187314531000
44,147,87453,1196796166000
45,147,87499,1183471918000
46,147,88108,1159446104000
47,147,88649,1192130577000
48,147,89560,1183471917000
49,147,90178,1196740935000
50,147,90442,1190754770000
51,147,91138,1159446095000
52,147,93282,1183471913000
53,147,94771,1160583877000
54,147,99246,1160586250000
55,147,105832,1160583879000
56,233,2716,1179415065000
57,242,6704,1278958571000
58,242,45650,1184298602000
59,259,11568,1191504692000
60,302,8232,1160706426000
61,302,28061,1172561664000
62,319,22091,1189890267000
63,319,57151,1158689385000
64,319,59208,1155768579000
65,319,89224,1146752335000
66,319,96577,1190507611000
67,336,29658,1264069572000
68,372,5584,1249222046000
69,372,41072,1190921830000
70,372,65754,1212502897000
71,372,93030,1249838653000
72,427,21127,1246363374000
73,485,27229,1150226908000
74,485,44046,1147367809000
75,485,49978,1161284369000
76,485,84972,1148443243000
77,485,89549,1154221518000
78,485,95152,1154978876000
79,485,97386,1160532031000
80,521,78592,1214457884000
81,521,79054,1240888724000
82,538,16972,1232562799000
83,620,71735,1279823963000
84,620,73515,1214161058000
85,788,1263,1267269245000
86,788,1423,1233178505000
87,788,10680,1282794069000
88,788,17308,1252505526000
89,788,17711,1237229723000
90,788,19812,1240443532000
91,788,21566,1242349841000
92,788,25795,1277318352000
93,788,28115,1247274637000
94,788,30669,1251542372000
95,788,31272,1251772112000
96,788,31503,1238713934000
97,788,31994,1244400443000
98,788,37851,1237473696000
99,788,40001,1273711960000
100,788,41461,1240536439000
101,788,41911,1254355483000
102,788,42525,1264311208000
103,788,44166,1277255556000
104,788,49031,1238799859000
105,788,49329,1268625464000
106,788,51379,1243512257000
107,788,51985,1253017834000
108,788,52177,1232898547000
109,788,52355,1278519761000
110,788,54005,1242477910000
111,788,55395,1266109381000
112,788,59979,1237511819000
113,788,60349,1244317438000
114,788,60597,1263841526000
115,788,61823,1237452325000
116,788,63285,1252949596000
117,788,64432,1284096630000
118,788,64555,1261186602000
119,788,71664,1261463395000
120,788,76566,1235506000000
121,788,78108,1249398585000
122,788,80417,1237669016000
123,788,83503,1261259501000
124,788,92968,1260224241000
125,788,93594,1240709341000
126,788,96951,1243875971000
127,788,100668,1249323759000
128,788,100884,1237503321000
129,788,101946,1275572808000
130,788,102218,1235921977000
131,788,102248,1261064791000
132,788,102824,1239669618000
133,788,106833,1268809295000
134,819,45897,1207913978000
135,819,80924,1189542283000
136,913,17855,1268075437000
137,934,2300,1285416018000
138,934,30201,1285715480000
139,934,35259,1285609772000
140,934,49058,1285721781000
141,934,49408,1285971239000
142,934,53002,1285427193000
143,934,57359,1285028200000
144,934,72005,1285641685000
145,934,75998,1285590745000
146,934,79828,1285120236000
